n_electric,n_mechanical,timestamp
1,7,1631798564
3,3,1632088422
4,5,1631145764
0,11,1632567164
6,15,1631569364
0,12,1631788964
2,2,1630285364
9,7,1630849964
2,3,1631542964
14,7,1631928764
5,10,1630468964
5,14,1632264764
0,0,1631118764
6,12,1631967164
1,1,1630941764
2,1,1630283564
6,15,1631565764
1,0,1630773164
0,1,1630938764
9,1,1631895764
8,5,1631407364
1,2,1632382964
14,8,1631930564
0,4,1632477164
3,11,1630520564
0,1,1630222964
0,2,1631616164
3,17,1632810165
2,10,1631857964
0,0,1631536364
0,4,1631092364
4,3,1632723764
1,0,1630301564
2,6,1631040764
0,0,1631116364
2,5,1632252764
1,2,1631128964
2,9,1630996964
8,7,1630889564
0,4,1630188164
4,8,1632717764
5,3,1631400764
1,3,1630159364
3,2,1632655964
2,14,1631997164
1,4,1631199764
1,6,1630723964
1,11,1630490564
1,4,1632494564
5,7,1630820564
10,11,1632454964
2,7,1630998764
7,3,1630868564
5,1,1630701164
2,13,1631996564
4,9,1630479164
7,13,1631739164
3,7,1630797764
1,4,1631373164
0,6,1631875964
7,8,1632377565
12,9,1631944964
3,16,1632042764
0,4,1630777964
6,5,1630431764
2,3,1630229564
2,9,1631485964
1,0,1631642564
1,0,1630413764
1,5,1631099564
2,1,1630765964
1,4,1632117764
1,1,1630264364
1,13,1631278364
1,4,1632483164
2,5,1631460164
10,6,1631906564
7,12,1630613564
8,12,1632199364
7,3,1631901164
10,12,1631251364
3,9,1630515164
4,4,1630375364
1,9,1632292964
0,2,1630269164
1,4,1632210764
10,6,1631226164
0,6,1631100164
5,16,1632791564
5,16,1632780764
0,0,1632126164
10,3,1631902364
6,3,1631890964
1,9,1630662164
0,4,1631304764
1,6,1631082764
0,2,1632245564
6,15,1631574764
0,10,1631005364
1,1,1631887364
3,1,1632657164
9,12,1631232164
1,0,1630699364
1,12,1632579164
1,0,1632745364
2,13,1631275364
14,8,1631935964
0,2,1630194764
0,0,1631525564
2,0,1630293164
1,3,1630690364
14,8,1631932364
1,0,1630342364
0,2,1630837364
1,7,1631545364
3,5,1630669964
2,2,1630343564
3,18,1632024764
2,4,1631370764
1,4,1631018564
8,9,1631319164
3,4,1632109964
3,6,1630142564
9,6,1631421164
3,9,1631503364
0,0,1632136964
4,5,1631166164
2,9,1630657964
5,10,1630464764
6,7,1630126963
6,9,1630248164
5,16,1632282164
2,1,1630417964
0,1,1631188364
3,16,1631977364
5,2,1632724964
1,6,1631106764
8,11,1631261564
7,12,1630617164
8,7,1630888964
3,4,1632099164
3,1,1631211164
1,2,1630839764
3,9,1631504564
11,10,1632440564
0,4,1632403964
6,7,1631063564
0,0,1630693964
1,4,1631356964
2,9,1631508164
0,7,1631010164
0,0,1632729164
1,9,1632568964
0,0,1632487964
1,13,1631283764
0,3,1632244964
7,12,1631731964
2,7,1630735364
2,2,1631200964
14,8,1631914964
